School or area,Academic year,Subject,Measure,Value,Unit,Cohort definition,Status,Source URL,Source location,Checked on
Richmond upon Thames,2023/24,Maths,Expected standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Maths,2026-09-22
Richmond upon Thames,2023/24,Maths,Higher standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Maths,2026-09-22
England,2023/24,"Reading, writing and maths",Expected standard,61,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,"All pupils / Total; Reading, writing and maths",2026-09-22
England,2023/24,"Reading, writing and maths",Higher standard,8,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,"All pupils / Total; Reading, writing and maths",2026-09-22
England,2023/24,Reading,Expected standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Reading,2026-09-22
England,2023/24,Reading,Higher standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Reading,2026-09-22
England,2023/24,Writing,Expected standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Writing,2026-09-22
England,2023/24,Writing,Higher standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Writing,2026-09-22
England,2023/24,Maths,Expected standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Maths,2026-09-22
England,2023/24,Maths,Higher standard,Not available,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,All pupils / Total; Maths,2026-09-22
Richmond upon Thames,2024/25,"Reading, writing and maths",Expected standard,78,percent,All pupils; state-funded schools,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/6b64a185-a49d-443e-9338-8f8bf7b67c90,"All pupils / Total; Reading, writing and maths",2026-09-22
